Using device: cuda
Path to dataset files: /home/airhust/.cache/kagglehub/datasets/sumanthvrao/daily-climate-time-series-data/versions/3
Train samples: 1448, Test samples: 100
Epoch 217 | train MSE 0.0634 | test MSE 0.2324
Epoch 218 | train MSE 0.0636 | test MSE 0.2872
Epoch 219 | train MSE 0.0620 | test MSE 0.2415
Epoch 220 | train MSE 0.0610 | test MSE 0.2392
Epoch 221 | train MSE 0.0592 | test MSE 0.2463
Epoch 222 | train MSE 0.0583 | test MSE 0.2665
Epoch 223 | train MSE 0.0591 | test MSE 0.2388
Epoch 224 | train MSE 0.0588 | test MSE 0.2663
Epoch 225 | train MSE 0.0592 | test MSE 0.2512
Epoch 226 | train MSE 0.0563 | test MSE 0.2581
Epoch 227 | train MSE 0.0560 | test MSE 0.2338
Epoch 228 | train MSE 0.0566 | test MSE 0.2612
Epoch 229 | train MSE 0.0590 | test MSE 0.2389
Epoch 230 | train MSE 0.0564 | test MSE 0.2663
Epoch 231 | train MSE 0.0559 | test MSE 0.2619
Epoch 232 | train MSE 0.0575 | test MSE 0.2414
Epoch 233 | train MSE 0.0558 | test MSE 0.2447
Epoch 234 | train MSE 0.0554 | test MSE 0.2712
Epoch 235 | train MSE 0.0562 | test MSE 0.2500
Epoch 236 | train MSE 0.0558 | test MSE 0.2585
Epoch 237 | train MSE 0.0549 | test MSE 0.2648
Epoch 238 | train MSE 0.0531 | test MSE 0.2738
Epoch 239 | train MSE 0.0527 | test MSE 0.2385
Epoch 240 | train MSE 0.0528 | test MSE 0.2616
Epoch 241 | train MSE 0.0520 | test MSE 0.2667
Epoch 242 | train MSE 0.0536 | test MSE 0.2476
Epoch 243 | train MSE 0.0525 | test MSE 0.2606
Epoch 244 | train MSE 0.0505 | test MSE 0.2663
Epoch 245 | train MSE 0.0509 | test MSE 0.2809
Epoch 246 | train MSE 0.0506 | test MSE 0.2713
Epoch 247 | train MSE 0.0506 | test MSE 0.2579
Epoch 248 | train MSE 0.0556 | test MSE 0.2796
Epoch 249 | train MSE 0.0514 | test MSE 0.2717
Epoch 250 | train MSE 0.0511 | test MSE 0.2617
Epoch 251 | train MSE 0.0527 | test MSE 0.2935
Epoch 252 | train MSE 0.0499 | test MSE 0.2542
Epoch 253 | train MSE 0.0488 | test MSE 0.3128
Epoch 254 | train MSE 0.0496 | test MSE 0.2700
Epoch 255 | train MSE 0.0507 | test MSE 0.2821
Epoch 256 | train MSE 0.0525 | test MSE 0.2549
Epoch 257 | train MSE 0.0503 | test MSE 0.3358
Epoch 258 | train MSE 0.0509 | test MSE 0.2592
Epoch 259 | train MSE 0.0494 | test MSE 0.2927
Epoch 260 | train MSE 0.0484 | test MSE 0.2660
Epoch 261 | train MSE 0.0504 | test MSE 0.3324
Epoch 262 | train MSE 0.0524 | test MSE 0.2493
Epoch 263 | train MSE 0.0494 | test MSE 0.3304
Epoch 264 | train MSE 0.0508 | test MSE 0.2710
Epoch 265 | train MSE 0.0474 | test MSE 0.2924
Epoch 266 | train MSE 0.0471 | test MSE 0.2871
Epoch 267 | train MSE 0.0482 | test MSE 0.2763
Epoch 268 | train MSE 0.0463 | test MSE 0.2851
Epoch 269 | train MSE 0.0469 | test MSE 0.2755
Epoch 270 | train MSE 0.0441 | test MSE 0.2739
Epoch 271 | train MSE 0.0439 | test MSE 0.2822
Epoch 272 | train MSE 0.0435 | test MSE 0.3172
Epoch 273 | train MSE 0.0450 | test MSE 0.2825
Epoch 274 | train MSE 0.0452 | test MSE 0.3221
Epoch 275 | train MSE 0.0454 | test MSE 0.2953
Epoch 276 | train MSE 0.0466 | test MSE 0.2896
Epoch 277 | train MSE 0.0471 | test MSE 0.3172
Epoch 278 | train MSE 0.0460 | test MSE 0.2734
Epoch 279 | train MSE 0.0462 | test MSE 0.3227
Epoch 280 | train MSE 0.0439 | test MSE 0.2801
Epoch 281 | train MSE 0.0430 | test MSE 0.3221
Epoch 282 | train MSE 0.0439 | test MSE 0.2746
Epoch 283 | train MSE 0.0457 | test MSE 0.3474
Epoch 284 | train MSE 0.0445 | test MSE 0.2815
Epoch 285 | train MSE 0.0414 | test MSE 0.2927
Epoch 286 | train MSE 0.0426 | test MSE 0.3203
Epoch 287 | train MSE 0.0412 | test MSE 0.2798
Epoch 288 | train MSE 0.0415 | test MSE 0.3223
Epoch 289 | train MSE 0.0402 | test MSE 0.2909
Epoch 290 | train MSE 0.0388 | test MSE 0.3081
Epoch 291 | train MSE 0.0394 | test MSE 0.3009
Epoch 292 | train MSE 0.0426 | test MSE 0.3323
Epoch 293 | train MSE 0.0444 | test MSE 0.3069
Epoch 294 | train MSE 0.0441 | test MSE 0.3163
Epoch 295 | train MSE 0.0425 | test MSE 0.2821
Epoch 296 | train MSE 0.0413 | test MSE 0.3178
Epoch 297 | train MSE 0.0399 | test MSE 0.3116
Epoch 298 | train MSE 0.0402 | test MSE 0.2880
Epoch 299 | train MSE 0.0420 | test MSE 0.3207
Epoch 300 | train MSE 0.0422 | test MSE 0.2882
Epoch 301 | train MSE 0.0390 | test MSE 0.3562
Epoch 302 | train MSE 0.0393 | test MSE 0.2927
Epoch 303 | train MSE 0.0404 | test MSE 0.3013
Epoch 304 | train MSE 0.0404 | test MSE 0.3194
Epoch 305 | train MSE 0.0381 | test MSE 0.2798
Epoch 306 | train MSE 0.0403 | test MSE 0.3230
Epoch 307 | train MSE 0.0374 | test MSE 0.2968
Epoch 308 | train MSE 0.0378 | test MSE 0.3177
Epoch 309 | train MSE 0.0368 | test MSE 0.3010
Epoch 310 | train MSE 0.0369 | test MSE 0.3008
Epoch 311 | train MSE 0.0350 | test MSE 0.2576
Epoch 312 | train MSE 0.0393 | test MSE 0.2748
Epoch 313 | train MSE 0.0414 | test MSE 0.2656
Epoch 314 | train MSE 0.0377 | test MSE 0.3085
Epoch 315 | train MSE 0.0390 | test MSE 0.3001
Epoch 316 | train MSE 0.0366 | test MSE 0.2962
Epoch 317 | train MSE 0.0360 | test MSE 0.3055
Epoch 318 | train MSE 0.0350 | test MSE 0.2980
Epoch 319 | train MSE 0.0353 | test MSE 0.2937
Epoch 320 | train MSE 0.0340 | test MSE 0.2993
Epoch 321 | train MSE 0.0328 | test MSE 0.3105
Epoch 322 | train MSE 0.0329 | test MSE 0.3048
Epoch 323 | train MSE 0.0333 | test MSE 0.3126
Epoch 324 | train MSE 0.0388 | test MSE 0.2969
Epoch 325 | train MSE 0.0352 | test MSE 0.3414
Epoch 326 | train MSE 0.0361 | test MSE 0.3001
Epoch 327 | train MSE 0.0336 | test MSE 0.3111
Epoch 328 | train MSE 0.0353 | test MSE 0.3210
Epoch 329 | train MSE 0.0312 | test MSE 0.2912
Epoch 330 | train MSE 0.0334 | test MSE 0.3232
Epoch 331 | train MSE 0.0331 | test MSE 0.3217
Epoch 332 | train MSE 0.0351 | test MSE 0.3219
Epoch 333 | train MSE 0.0323 | test MSE 0.3176
Epoch 334 | train MSE 0.0318 | test MSE 0.3019
Epoch 335 | train MSE 0.0302 | test MSE 0.3175
Epoch 336 | train MSE 0.0317 | test MSE 0.2985
Epoch 337 | train MSE 0.0313 | test MSE 0.3164
Epoch 338 | train MSE 0.0323 | test MSE 0.3255
Epoch 339 | train MSE 0.0302 | test MSE 0.3194
Epoch 340 | train MSE 0.0304 | test MSE 0.3125
Epoch 341 | train MSE 0.0302 | test MSE 0.3099
Epoch 342 | train MSE 0.0291 | test MSE 0.3014
Epoch 343 | train MSE 0.0276 | test MSE 0.3111
Epoch 344 | train MSE 0.0285 | test MSE 0.3368
Epoch 345 | train MSE 0.0285 | test MSE 0.3054
Epoch 346 | train MSE 0.0284 | test MSE 0.2976
Epoch 347 | train MSE 0.0278 | test MSE 0.3401
Epoch 348 | train MSE 0.0289 | test MSE 0.3150
Epoch 349 | train MSE 0.0305 | test MSE 0.3213
Epoch 350 | train MSE 0.0278 | test MSE 0.2979
Epoch 351 | train MSE 0.0279 | test MSE 0.3362
Epoch 352 | train MSE 0.0272 | test MSE 0.3115
Epoch 353 | train MSE 0.0276 | test MSE 0.3185
Epoch 354 | train MSE 0.0288 | test MSE 0.3081
Epoch 355 | train MSE 0.0291 | test MSE 0.3210
Epoch 356 | train MSE 0.0273 | test MSE 0.3348
Epoch 357 | train MSE 0.0266 | test MSE 0.3033
Epoch 358 | train MSE 0.0259 | test MSE 0.3049
Epoch 359 | train MSE 0.0256 | test MSE 0.3157
Epoch 360 | train MSE 0.0258 | test MSE 0.3302
Epoch 361 | train MSE 0.0253 | test MSE 0.3202
Epoch 362 | train MSE 0.0251 | test MSE 0.3137
Epoch 363 | train MSE 0.0260 | test MSE 0.3398
Epoch 364 | train MSE 0.0271 | test MSE 0.3057
Epoch 365 | train MSE 0.0260 | test MSE 0.3385
Epoch 366 | train MSE 0.0261 | test MSE 0.3555
Epoch 367 | train MSE 0.0248 | test MSE 0.3060
Epoch 368 | train MSE 0.0253 | test MSE 0.3501
Epoch 369 | train MSE 0.0264 | test MSE 0.2998
Epoch 370 | train MSE 0.0239 | test MSE 0.3157
Epoch 371 | train MSE 0.0236 | test MSE 0.3475
Epoch 372 | train MSE 0.0233 | test MSE 0.3201
Epoch 373 | train MSE 0.0233 | test MSE 0.3131
Epoch 374 | train MSE 0.0227 | test MSE 0.3453
Epoch 375 | train MSE 0.0241 | test MSE 0.3196
Epoch 376 | train MSE 0.0238 | test MSE 0.3387
Epoch 377 | train MSE 0.0240 | test MSE 0.3154
Epoch 378 | train MSE 0.0228 | test MSE 0.3534
Epoch 379 | train MSE 0.0266 | test MSE 0.3295
Epoch 380 | train MSE 0.0231 | test MSE 0.3088
Epoch 381 | train MSE 0.0230 | test MSE 0.3339
Epoch 382 | train MSE 0.0229 | test MSE 0.3227
Epoch 383 | train MSE 0.0247 | test MSE 0.3245
Epoch 384 | train MSE 0.0224 | test MSE 0.3202
Epoch 385 | train MSE 0.0212 | test MSE 0.3281
Epoch 386 | train MSE 0.0212 | test MSE 0.3456
Epoch 387 | train MSE 0.0214 | test MSE 0.3125
Epoch 388 | train MSE 0.0203 | test MSE 0.3292
Epoch 389 | train MSE 0.0197 | test MSE 0.3227
Epoch 390 | train MSE 0.0196 | test MSE 0.3433
Epoch 391 | train MSE 0.0187 | test MSE 0.3312
Epoch 392 | train MSE 0.0197 | test MSE 0.3315
Epoch 393 | train MSE 0.0196 | test MSE 0.3429
Epoch 394 | train MSE 0.0191 | test MSE 0.3331
Epoch 395 | train MSE 0.0194 | test MSE 0.3301
Epoch 396 | train MSE 0.0182 | test MSE 0.3439
Epoch 397 | train MSE 0.0191 | test MSE 0.3344
Epoch 398 | train MSE 0.0187 | test MSE 0.3272
Epoch 399 | train MSE 0.0185 | test MSE 0.3553
Epoch 400 | train MSE 0.0199 | test MSE 0.3212
Epoch 401 | train MSE 0.0198 | test MSE 0.3562
Epoch 402 | train MSE 0.0194 | test MSE 0.3465
Epoch 403 | train MSE 0.0180 | test MSE 0.3459
Epoch 404 | train MSE 0.0177 | test MSE 0.3385
Epoch 405 | train MSE 0.0183 | test MSE 0.3328
Epoch 406 | train MSE 0.0175 | test MSE 0.3307
Epoch 407 | train MSE 0.0174 | test MSE 0.3350
Epoch 408 | train MSE 0.0182 | test MSE 0.3629
Epoch 409 | train MSE 0.0192 | test MSE 0.3139
Epoch 410 | train MSE 0.0175 | test MSE 0.3486
Epoch 411 | train MSE 0.0173 | test MSE 0.3347
Epoch 412 | train MSE 0.0171 | test MSE 0.3358
Epoch 413 | train MSE 0.0168 | test MSE 0.3465
Epoch 414 | train MSE 0.0161 | test MSE 0.3512
Epoch 415 | train MSE 0.0165 | test MSE 0.3254
Epoch 416 | train MSE 0.0160 | test MSE 0.3367
Epoch 417 | train MSE 0.0164 | test MSE 0.3446
Epoch 418 | train MSE 0.0160 | test MSE 0.3150
Epoch 419 | train MSE 0.0159 | test MSE 0.3522
Epoch 420 | train MSE 0.0156 | test MSE 0.3482
Epoch 421 | train MSE 0.0164 | test MSE 0.3573
Epoch 422 | train MSE 0.0152 | test MSE 0.3302
Epoch 423 | train MSE 0.0159 | test MSE 0.3384
Epoch 424 | train MSE 0.0149 | test MSE 0.3460
Epoch 425 | train MSE 0.0138 | test MSE 0.3432
Epoch 426 | train MSE 0.0145 | test MSE 0.3465
Epoch 427 | train MSE 0.0138 | test MSE 0.3327
Epoch 428 | train MSE 0.0136 | test MSE 0.3307
Epoch 429 | train MSE 0.0152 | test MSE 0.3264
Epoch 430 | train MSE 0.0143 | test MSE 0.3601
Epoch 431 | train MSE 0.0139 | test MSE 0.3401
Epoch 432 | train MSE 0.0141 | test MSE 0.3547
Epoch 433 | train MSE 0.0145 | test MSE 0.3413
Epoch 434 | train MSE 0.0145 | test MSE 0.3316
Epoch 435 | train MSE 0.0150 | test MSE 0.3381
Epoch 436 | train MSE 0.0141 | test MSE 0.3445
Epoch 437 | train MSE 0.0141 | test MSE 0.3514
Epoch 438 | train MSE 0.0134 | test MSE 0.3416
Epoch 439 | train MSE 0.0133 | test MSE 0.3482
Epoch 440 | train MSE 0.0136 | test MSE 0.3269
